iq2,q2_low,q2_high,ixb,xb_low,xb_high,it,t_low,t_high,reliable_phi_bins,overlap_phi_bins,born_sum,radiative_sum,mean_c_rad,median_c_rad,min_c_rad,max_c_rad,mean_delta_c
1,1.5,2.0,6,0.38,0.48,4,0.4,0.6,20,20,1179421.0,663181.0,2.852485095819495,2.9975344884485873,1.2140321750675902,3.7809864749603044,0.019684338762798827
1,1.5,2.0,6,0.38,0.48,5,0.6,1.0,20,20,1885411.0,1230463.0,2.4758518949084936,2.6089078864688906,1.376600708982268,3.2412664898749526,0.012953027203305966
1,1.5,2.0,6,0.38,0.48,6,1.0,1.5,20,20,1113756.0,1235429.0,1.4866818306094065,1.5769305070507589,0.7400199896188734,1.979443792191096,0.008729473600035394
1,1.5,2.0,6,0.38,0.48,7,1.5,2.0,20,20,412427.0,890423.0,0.7754453413717985,0.8167856606289297,0.42640551590360276,1.010986577935287,0.0065321126789350025
1,1.5,2.0,7,0.48,0.58,2,0.2,0.3,0,0,9.0,0.0,nan,nan,nan,nan,nan
1,1.5,2.0,7,0.48,0.58,3,0.3,0.4,20,20,78686.0,7292.0,18.214165419329976,18.642088647958218,8.702236099640745,24.64011205801348,0.9932346747459213
1,1.5,2.0,7,0.48,0.58,4,0.4,0.6,20,20,777032.0,29109.0,45.133083005575536,43.570769459224294,14.151408550534306,77.71963271032587,1.2088928797033502
1,1.5,2.0,7,0.48,0.58,5,0.6,1.0,20,20,1926303.0,77427.0,41.67615969956925,42.65185593526549,17.559984507941312,65.68263799136784,0.6787908408551379
1,1.5,2.0,7,0.48,0.58,6,1.0,1.5,20,20,1089513.0,120995.0,15.056350367415238,15.764583560497822,7.507975366943759,21.53427812874594,0.20230208593262994
1,1.5,2.0,7,0.48,0.58,7,1.5,2.0,20,20,388437.0,111922.0,5.95659230983831,6.063926718313395,3.2142821039870135,8.169735803679234,0.0908752676755956
1,1.5,2.0,8,0.58,0.7,4,0.4,0.6,0,0,39223.0,0.0,nan,nan,nan,nan,nan
1,1.5,2.0,8,0.58,0.7,5,0.6,1.0,0,0,550936.0,0.0,nan,nan,nan,nan,nan
1,1.5,2.0,8,0.58,0.7,6,1.0,1.5,0,0,373084.0,0.0,nan,nan,nan,nan,nan
1,1.5,2.0,8,0.58,0.7,7,1.5,2.0,0,0,131111.0,0.0,nan,nan,nan,nan,nan
2,2.0,2.5,2,0.15,0.2,0,0.09,0.15,15,20,128.0,677.0,0.39023647598657046,0.37787360664941255,0.28953951678331613,0.5716549433927011,0.15432434745878562
2,2.0,2.5,2,0.15,0.2,1,0.15,0.2,8,20,87.0,599.0,0.3900680147577638,0.3962535385891175,0.28156139002924085,0.49414240869538567,0.16369219054647052
2,2.0,2.5,2,0.15,0.2,2,0.2,0.3,20,20,197.0,1181.0,0.30168731701390905,0.3133623052529395,0.15590589365255483,0.4677176809576645,0.10107246941410028
2,2.0,2.5,2,0.15,0.2,3,0.3,0.4,20,20,199.0,949.0,0.37772312159532656,0.34470332605037435,0.22765019869620837,0.6679336707009454,0.1289973445306952
