row,Q2,xB,minus_t,sigma_U,sigma_U_stat,sigma_U_sys,sigma_LT,sigma_LT_stat,sigma_LT_sys,sigma_TT,sigma_TT_stat,sigma_TT_sys,reported_global_scale
29,2.22,0.336,0.258,261.0,14.6,0,0.543,6.96,0,-67.1,20.2,0,1.3
30,2.71,0.277,0.253,88.2,6.85,0,4.8,3.0,0,-17.0,12.7,0,1.3
31,2.71,0.336,0.263,157.0,11.7,0,1.37,6.09,0,-24.3,18.4,0,1.3
32,2.72,0.377,0.266,171.0,24.4,0,-29.0,12.2,0,38.9,31.7,0,1.3
33,3.21,0.338,0.266,95.1,9.99,0,-6.61,5.95,0,-3.42,19.1,0,1.3
34,3.21,0.378,0.269,140.0,36.1,0,-25.9,20.0,0,-7.77,38.8,0,1.3
35,1.18,0.129,0.349,110.0,3.23,0,1.4,0.843,0,-77.4,4.94,0,1.3
36,1.19,0.176,0.35,213.0,4.72,0,5.48,1.35,0,-160.0,6.42,0,1.3
37,1.2,0.225,0.351,326.0,6.11,0,9.17,1.48,0,-275.0,7.81,0,1.3
38,1.31,0.27,0.351,358.0,20.5,0,35.3,9.89,0,-334.0,26.7,0,1.3
39,1.7,0.131,0.347,41.7,3.02,0,0.835,1.38,0,-30.1,7.6,0,1.3
40,1.73,0.176,0.348,92.6,3.96,0,1.47,1.17,0,-68.9,6.12,0,1.3
41,1.73,0.228,0.351,167.0,5.6,0,0.39,1.47,0,-139.0,7.51,0,1.3
42,1.74,0.276,0.35,290.0,8.36,0,7.11,2.67,0,-195.0,12.3,0,1.3
43,1.79,0.332,0.349,330.0,10.0,0,21.3,3.52,0,-255.0,14.3,0,1.3
44,2.21,0.178,0.348,43.2,3.55,0,1.88,1.21,0,-35.4,7.36,0,1.3
45,2.21,0.228,0.35,89.2,5.64,0,3.41,2.86,0,-61.8,8.81,0,1.3
46,2.22,0.276,0.349,141.0,5.67,0,2.57,1.57,0,-105.0,8.48,0,1.3
47,2.22,0.341,0.35,220.0,6.16,0,9.67,1.95,0,-121.0,9.6,0,1.3
48,2.71,0.227,0.352,55.0,5.69,0,5.03,3.08,0,-33.0,11.2,0,1.3
49,2.7,0.278,0.353,87.0,6.95,0,4.72,3.78,0,-37.9,12.1,0,1.3
50,2.72,0.343,0.352,136.0,5.23,0,2.07,1.98,0,-52.8,8.25,0,1.3
51,2.74,0.42,0.359,211.0,11.3,0,-3.49,5.5,0,-29.3,16.3,0,1.3
52,3.22,0.343,0.351,93.0,5.5,0,0.888,2.18,0,-29.3,9.42,0,1.3
53,3.22,0.427,0.359,131.0,8.85,0,0.112,4.52,0,-50.1,13.3,0,1.3
54,3.71,0.344,0.354,58.1,5.8,0,1.04,3.31,0,-5.85,11.5,0,1.3
55,3.72,0.427,0.361,93.4,12.3,0,-7.88,6.98,0,-1.88,17.8,0,1.3
56,4.25,0.431,0.36,60.9,10.1,0,-6.45,6.42,0,4.46,15.3,0,1.3
57,1.17,0.129,0.493,76.2,1.7,0,-3.31,0.528,0,-53.3,2.74,0,1.3
58,1.19,0.176,0.496,165.0,2.6,0,-1.37,0.593,0,-134.0,3.42,0,1.3
59,1.21,0.225,0.495,257.0,3.44,0,4.03,0.805,0,-213.0,4.59,0,1.3
60,1.31,0.27,0.495,296.0,7.23,0,-0.502,2.85,0,-228.0,10.1,0,1.3
61,1.69,0.132,0.49,27.2,1.55,0,0.859,0.876,0,-14.7,4.1,0,1.3
62,1.72,0.176,0.493,70.1,2.23,0,-2.8,0.651,0,-51.4,3.52,0,1.3
63,1.72,0.227,0.499,133.0,3.42,0,-1.45,0.982,0,-94.8,4.83,0,1.3
64,1.74,0.276,0.496,230.0,5.01,0,-1.87,1.15,0,-196.0,7.16,0,1.3
65,1.8,0.332,0.49,280.0,5.57,0,3.15,1.84,0,-219.0,8.15,0,1.3
